time,i_C,i_L,i_d,i_s,u_R,u_out
0.0,-0.0057375989854335785,21.9942626953125,21.994247436523438,1.4481994185189251E-5,-0.0013770237565040588,59.99860382080078
1.0000000000000005E-8,-0.011475058272480965,21.988525390625,21.988510131835938,1.448198872822104E-5,-0.0027540139853954315,59.997188568115234
2.000000000000001E-8,-0.01721237786114216,21.9827880859375,21.982772827148438,1.4481982361758128E-5,-0.004130970686674118,59.995758056640625
3.000000000000002E-8,-0.02294955588877201,21.97705078125,21.977035522460938,1.4481976904789917E-5,-0.005507893394678831,59.99430847167969
4.000000000000002E-8,-0.028686588630080223,21.9713134765625,21.971298217773438,1.4481971447821707E-5,-0.006884781178086996,59.992835998535156
5.0000000000000024E-8,-0.034423474222421646,21.965576171875,21.96556282043457,1.4481965990853496E-5,-0.008261634036898613,59.99134826660156
6.000000000000003E-8,-0.04016021639108658,21.9598388671875,21.95982551574707,1.4481959624390583E-5,-0.009638451971113682,59.98984146118164
7.000000000000003E-8,-0.045896805822849274,21.954103469848633,21.95408821105957,1.4481954167422373E-5,-0.01101523358374834,59.988319396972656
8.000000000000004E-8,-0.05163324624300003,21.948366165161133,21.948352813720703,1.4481948710454162E-5,-0.01239197887480259,59.98677444458008
9.000000000000005E-8,-0.05736953392624855,21.942630767822266,21.942615509033203,1.448194234399125E-5,-0.013768687844276428,59.98521423339844
1.0000000000000005E-7,-0.06310566514730453,21.936893463134766,21.936880111694336,1.448193688702304E-5,-0.015145359560847282,59.98363494873047
1.1000000000000006E-7,-0.06884164363145828,21.9311580657959,21.93114471435547,1.4481931430054829E-5,-0.016521994024515152,59.982032775878906
1.2000000000000007E-7,-0.0745774582028389,21.92542266845703,21.92540740966797,1.4481925063591916E-5,-0.017898589372634888,59.98041915893555
1.3000000000000008E-7,-0.08031311631202698,21.919687271118164,21.9196720123291,1.4481919606623705E-5,-0.01927514746785164,59.978782653808594
1.4000000000000006E-7,-0.08604861050844193,21.913951873779297,21.913936614990234,1.4481914149655495E-5,-0.020651666447520256,59.97712707519531
1.5000000000000007E-7,-0.09178394824266434,21.90821647644043,21.908201217651367,1.4481907783192582E-5,-0.02202814817428589,59.97545623779297
1.6000000000000008E-7,-0.09751911461353302,21.902481079101562,21.9024658203125,1.4481902326224372E-5,-0.02340458706021309,59.97376251220703
1.700000000000001E-7,-0.10325411707162857,21.896745681762695,21.896732330322266,1.4481896869256161E-5,-0.024780988693237305,59.97205352783203
1.800000000000001E-7,-0.10898894816637039,21.891010284423828,21.8909969329834,1.448189141228795E-5,-0.026157349348068237,59.9703254699707
1.9000000000000009E-7,-0.11472361534833908,21.885276794433594,21.88526153564453,1.4481885045825038E-5,-0.027533667162060738,59.96857833862305
2.000000000000001E-7,-0.12045810371637344,21.879541397094727,21.879528045654297,1.4481879588856827E-5,-0.028909945860505104,59.96681594848633
2.100000000000001E-7,-0.12619242072105408,21.873807907104492,21.87379264831543,1.4481874131888617E-5,-0.030286181718111038,59.965030670166016
2.2000000000000012E-7,-0.13192656636238098,21.868072509765625,21.868059158325195,1.4481867765425704E-5,-0.03166237473487854,59.96323013305664
2.3000000000000013E-7,-0.13766053318977356,21.86233901977539,21.86232566833496,1.4481862308457494E-5,-0.03303852677345276,59.96141052246094
2.4000000000000014E-7,-0.1433943212032318,21.856605529785156,21.856590270996094,1.4481856851489283E-5,-0.034414637833833694,59.959571838378906
2.5000000000000015E-7,-0.14912793040275574,21.850872039794922,21.85085678100586,1.448185048502637E-5,-0.03579070046544075,59.95771408081055
2.6000000000000016E-7,-0.15486134588718414,21.845138549804688,21.845123291015625,1.448184502805816E-5,-0.03716672211885452,59.95583724975586
2.700000000000001E-7,-0.16059458255767822,21.839405059814453,21.839391708374023,1.448183957108995E-5,-0.03854270279407501,59.95394515991211
2.800000000000001E-7,-0.16632764041423798,21.83367156982422,21.83365821838379,1.4481833204627037E-5,-0.03991863504052162,59.95203399658203
2.9000000000000014E-7,-0.1720605045557022,21.827939987182617,21.827924728393555,1.4481827747658826E-5,-0.04129452258348465,59.95009994506836
3.0000000000000015E-7,-0.17779318988323212,21.822206497192383,21.822193145751953,1.4481822290690616E-5,-0.042670365422964096,59.948150634765625
3.1000000000000016E-7,-0.1835256665945053,21.81647491455078,21.81645965576172,1.4481816833722405E-5,-0.04404615983366966,59.94618225097656
3.2000000000000017E-7,-0.18925796449184418,21.810741424560547,21.810728073120117,1.4481810467259493E-5,-0.04542190954089165,59.94419860839844
3.300000000000002E-7,-0.19499006867408752,21.805009841918945,21.804994583129883,1.4481805010291282E-5,-0.04679761454463005,59.94219207763672
3.400000000000002E-7,-0.20072196424007416,21.799278259277344,21.79926300048828,1.4481799553323071E-5,-0.048173271119594574,59.94017028808594
3.500000000000002E-7,-0.20645366609096527,21.793546676635742,21.79353141784668,1.4481793186860159E-5,-0.04954887926578522,59.93812942504883
3.600000000000002E-7,-0.21218517422676086,21.78781509399414,21.787799835205078,1.4481787729891948E-5,-0.05092444270849228,59.93606948852539
3.700000000000002E-7,-0.21791647374629974,21.78208351135254,21.782068252563477,1.4481782272923738E-5,-0.05229995399713516,59.933990478515625
3.8000000000000017E-7,-0.2236475795507431,21.776351928710938,21.776338577270508,1.4481775906460825E-5,-0.053675416857004166,59.93189239501953
3.900000000000002E-7,-0.22937847673892975,21.77062225341797,21.770606994628906,1.4481770449492615E-5,-0.05505083128809929,59.929779052734375
4.000000000000002E-7,-0.2351091504096985,21.764890670776367,21.764875411987305,1.4481764992524404E-5,-0.05642619729042053,59.927642822265625
4.100000000000002E-7,-0.2408396303653717,21.7591609954834,21.759145736694336,1.4481759535556193E-5,-0.0578015111386776,59.92549133300781
4.200000000000002E-7,-0.2465699017047882,21.753429412841797,21.753416061401367,1.4481753169093281E-5,-0.05917677655816078,59.92332077026367
